ts,phase,mode,cycle_time_ms,cycle_num,ch,packets,pps,avg_pps,dwell_ms,z_score
1776656356.3635876,P1_rr_10000ms,rr,10000,64,8,10,12.562813758850098,,769,
1776656356.3635876,P1_rr_10000ms,rr,10000,64,9,5,6.281406879425049,,769,
1776656356.3635876,P1_rr_10000ms,rr,10000,64,10,9,11.306532859802246,,769,
1776656356.3635876,P1_rr_10000ms,rr,10000,64,11,20,25.125627517700195,,769,
1776656356.3635876,P1_rr_10000ms,rr,10000,64,12,1,1.2562813758850098,,769,
1776656356.3635876,P1_rr_10000ms,rr,10000,64,13,1,1.2562813758850098,,769,
1776656366.727235,P1_rr_10000ms,rr,10000,65,1,51,64.07035064697266,,769,
1776656366.727235,P1_rr_10000ms,rr,10000,65,2,2,2.5125627517700195,,769,
1776656366.727235,P1_rr_10000ms,rr,10000,65,3,0,0.0,,769,
1776656366.727235,P1_rr_10000ms,rr,10000,65,4,2,2.5125627517700195,,769,
1776656366.727235,P1_rr_10000ms,rr,10000,65,5,3,3.7688441276550293,,769,
1776656366.727235,P1_rr_10000ms,rr,10000,65,6,229,287.6884460449219,,769,
